attribute,age_group,gender_group,cohort,item_id,delta,source,destination,active_waveform_score,active_waveform_shift,active_ranker_shift,source_cosine
age,young_20s,male,20s M,GLOBE::train::S_021413::00039664_000006.v2.vad,-2.0,/data/waris/code/TVTSynCtrl/results/relgan_raft_hnr_fixed_ablation_paper_v2/20260622_114538/hnr_fixed_no_adversarial_paper_v2_20260622_114538/audio/audio_eval/audio/0268_GLOBE__train__S_021413__00039664_000006_v2_vad_age_-2.00.wav,audio/age/young_20s_male/age_m2p0.wav,0.1674253493547439,-0.038773626089096,-0.3979808688163757,0.772525429725647
age,young_20s,male,20s M,GLOBE::train::S_021413::00039664_000006.v2.vad,-1.0,/data/waris/code/TVTSynCtrl/results/relgan_raft_hnr_fixed_ablation_paper_v2/20260622_114538/hnr_fixed_no_adversarial_paper_v2_20260622_114538/audio/audio_eval/audio/0268_GLOBE__train__S_021413__00039664_000006_v2_vad_age_-1.00.wav,audio/age/young_20s_male/age_m1p0.wav,0.174972265958786,-0.031226709485054,-0.3979808688163757,0.9207683205604552
age,young_20s,male,20s M,GLOBE::train::S_021413::00039664_000006.v2.vad,0.0,/data/waris/code/TVTSynCtrl/results/relgan_raft_hnr_fixed_ablation_paper_v2/20260622_114538/hnr_fixed_no_adversarial_paper_v2_20260622_114538/audio/audio_eval/audio/0268_GLOBE__train__S_021413__00039664_000006_v2_vad_age_+0.00.wav,audio/age/young_20s_male/age_p0p0.wav,0.20619897544384,0.0,-0.0219054818153381,0.9999593496322632
age,young_20s,male,20s M,GLOBE::train::S_021413::00039664_000006.v2.vad,1.0,/data/waris/code/TVTSynCtrl/results/relgan_raft_hnr_fixed_ablation_paper_v2/20260622_114538/hnr_fixed_no_adversarial_paper_v2_20260622_114538/audio/audio_eval/audio/0268_GLOBE__train__S_021413__00039664_000006_v2_vad_age_+1.00.wav,audio/age/young_20s_male/age_p1p0.wav,0.492774099111557,0.286575123667717,1.0380134582519531,0.9162540435791016
age,young_20s,male,20s M,GLOBE::train::S_021413::00039664_000006.v2.vad,2.0,/data/waris/code/TVTSynCtrl/results/relgan_raft_hnr_fixed_ablation_paper_v2/20260622_114538/hnr_fixed_no_adversarial_paper_v2_20260622_114538/audio/audio_eval/audio/0268_GLOBE__train__S_021413__00039664_000006_v2_vad_age_+2.00.wav,audio/age/young_20s_male/age_p2p0.wav,0.7383046746253967,0.5321056991815567,1.6020190715789795,0.8644273281097412
age,young_20s,male,20s M,GLOBE::train::S_021413::00039664_000006.v2.vad,source,/data/waris/data/GLOBE/data/train/S_021413/wav/00039664_000006.v2.vad.wav,audio/age/young_20s_male/source.wav,,,,
age,young_20s,female,20s F,GLOBE::train::S_008132::00022382_000004.v2.vad,-2.0,/data/waris/code/TVTSynCtrl/results/relgan_raft_hnr_fixed_ablation_paper_v2/20260622_114538/hnr_fixed_no_adversarial_paper_v2_20260622_114538/audio/audio_eval/audio/0212_GLOBE__train__S_008132__00022382_000004_v2_vad_age_-2.00.wav,audio/age/young_20s_female/age_m2p0.wav,0.201819896697998,-0.0859234631061554,-0.6528853178024292,0.8492375612258911
age,young_20s,female,20s F,GLOBE::train::S_008132::00022382_000004.v2.vad,-1.0,/data/waris/code/TVTSynCtrl/results/relgan_raft_hnr_fixed_ablation_paper_v2/20260622_114538/hnr_fixed_no_adversarial_paper_v2_20260622_114538/audio/audio_eval/audio/0212_GLOBE__train__S_008132__00022382_000004_v2_vad_age_-1.00.wav,audio/age/young_20s_female/age_m1p0.wav,0.2844041883945465,-0.0033391714096069,-0.6528853178024292,0.9429860711097716
age,young_20s,female,20s F,GLOBE::train::S_008132::00022382_000004.v2.vad,0.0,/data/waris/code/TVTSynCtrl/results/relgan_raft_hnr_fixed_ablation_paper_v2/20260622_114538/hnr_fixed_no_adversarial_paper_v2_20260622_114538/audio/audio_eval/audio/0212_GLOBE__train__S_008132__00022382_000004_v2_vad_age_+0.00.wav,audio/age/young_20s_female/age_p0p0.wav,0.2877433598041534,0.0,-0.0311552882194519,0.9999642372131348
age,young_20s,female,20s F,GLOBE::train::S_008132::00022382_000004.v2.vad,1.0,/data/waris/code/TVTSynCtrl/results/relgan_raft_hnr_fixed_ablation_paper_v2/20260622_114538/hnr_fixed_no_adversarial_paper_v2_20260622_114538/audio/audio_eval/audio/0212_GLOBE__train__S_008132__00022382_000004_v2_vad_age_+1.00.wav,audio/age/young_20s_female/age_p1p0.wav,0.6686833500862122,0.3809399902820587,1.0550216436386108,0.961583971977234
