attribute,cohort,age_group,gender_group,item_id,dataset,global_speaker_id,source_audio,reconstruction_audio,select_corr,select_endpoint,select_range,select_cos_mean,select_cos_min,select_score
age,20s M,young_20s,male,LibriTTS::7640::7640_111784_000011_000002,LibriTTS,LibriTTS::7640,audio/age/20s_M/LibriTTS__7640__7640_111784_000011_000002__source.wav,audio/age/20s_M/LibriTTS__7640__7640_111784_000011_000002__reconstruction.wav,0.957157904306482,0.4572590291500092,0.4909426420927048,0.6436446070671081,0.4856587648391723,2.3501199772641375
age,20s F,young_20s,female,VoxCeleb1::test::id10286::7I1GtGzVfmw::00011,VoxCeleb1,VoxCeleb1::id10286,audio/age/20s_F/VoxCeleb1__test__id10286__7I1GtGzVfmw__00011__source.wav,audio/age/20s_F/VoxCeleb1__test__id10286__7I1GtGzVfmw__00011__reconstruction.wav,0.971384568965011,0.5223005264997482,0.5223005264997482,0.5904627740383148,0.4638495743274688,2.3691419074811173
age,40s M,mid_40s,male,NaturalVoices::MSP-PODCAST_1632::MSP-PODCAST_1632_104,NaturalVoices,NaturalVoices::MSP-PODCAST_1632,audio/age/40s_M/NaturalVoices__MSP-PODCAST_1632__MSP-PODCAST_1632_104__source.wav,audio/age/40s_M/NaturalVoices__MSP-PODCAST_1632__MSP-PODCAST_1632_104__reconstruction.wav,0.9796023800275694,0.6149946302175522,0.6149946302175522,0.681779944896698,0.5632047653198242,2.4612777239247987
age,40s F,mid_40s,female,GLOBE::train::S_017018::00105921_000004.v2.vad,GLOBE,GLOBE::S_017018,audio/age/40s_F/GLOBE__train__S_017018__00105921_000004_v2_vad__source.wav,audio/age/40s_F/GLOBE__train__S_017018__00105921_000004_v2_vad__reconstruction.wav,0.9892385938037116,0.6063982099294664,0.6063982099294664,0.6507822275161743,0.5787374973297119,2.459701494625311
age,60s M,senior_60s,male,LibriTTS::6804::6804_79287_000013_000013,LibriTTS,LibriTTS::6804,audio/age/60s_M/LibriTTS__6804__6804_79287_000013_000013__source.wav,audio/age/60s_M/LibriTTS__6804__6804_79287_000013_000013__reconstruction.wav,0.9718759222725332,0.5651888847351074,0.5651888847351074,0.6243328988552094,0.4962781965732574,2.4000682275432514
age,60s F,senior_60s,female,NaturalVoices::MSP-PODCAST_5606::MSP-PODCAST_5606_43,NaturalVoices,NaturalVoices::MSP-PODCAST_5606,audio/age/60s_F/NaturalVoices__MSP-PODCAST_5606__MSP-PODCAST_5606_43__source.wav,audio/age/60s_F/NaturalVoices__MSP-PODCAST_5606__MSP-PODCAST_5606_43__reconstruction.wav,0.9800743630462035,0.4675320088863373,0.4675320088863373,0.699890398979187,0.5497551560401917,2.4264674895382363
gender_male,20s M,young_20s,male,GLOBE::train::S_002333::00266973_000004.v2.vad,GLOBE,GLOBE::S_002333,audio/gender_male/20s_M/GLOBE__train__S_002333__00266973_000004_v2_vad__source.wav,audio/gender_male/20s_M/GLOBE__train__S_002333__00266973_000004_v2_vad__reconstruction.wav,0.8796425577881014,0.996124576427974,0.9974993575597184,0.7394815802574157,0.6376333832740784,2.3409749214801128
gender_male,20s F,young_20s,female,VoxCeleb1::train::id10599::Uw3u4E2RjuA::00002,VoxCeleb1,VoxCeleb1::id10599,audio/gender_male/20s_F/VoxCeleb1__train__id10599__Uw3u4E2RjuA__00002__source.wav,audio/gender_male/20s_F/VoxCeleb1__train__id10599__Uw3u4E2RjuA__00002__reconstruction.wav,0.8888033665540285,0.9931303742341698,0.9931303742341698,0.7295362114906311,0.5948593616485596,2.3483696651112185
gender_male,40s M,mid_40s,male,GLOBE::train::S_018363::00431096_000005.v2.vad,GLOBE,GLOBE::S_018363,audio/gender_male/40s_M/GLOBE__train__S_018363__00431096_000005_v2_vad__source.wav,audio/gender_male/40s_M/GLOBE__train__S_018363__00431096_000005_v2_vad__reconstruction.wav,0.9521404562654288,0.9934430021094158,0.9943874377058819,0.7385522723197937,0.608271598815918,2.481138119284133
gender_male,40s F,mid_40s,female,NaturalVoices::MSP-PODCAST_0478::MSP-PODCAST_0478_1,NaturalVoices,NaturalVoices::MSP-PODCAST_0478,audio/gender_male/40s_F/NaturalVoices__MSP-PODCAST_0478__MSP-PODCAST_0478_1__source.wav,audio/gender_male/40s_F/NaturalVoices__MSP-PODCAST_0478__MSP-PODCAST_0478_1__reconstruction.wav,0.9441719686711719,0.9519274400081486,0.9742761404486374,0.6562330245971679,0.51833575963974,2.4186110258578033
