qid,set_id,attribute,target_direction,question_direction,clip_a,clip_b,clip_a_role,clip_b_role,correct_choice,source_trial_id,item_id,age_group,gender_group,decision_from_curation,selection_score
Q01,1,age,negative,positive,audio/Q01_age_negative_LibriTTS__2990__2990_6534_000017_000000_edited.wav,audio/Q01_age_negative_LibriTTS__2990__2990_6534_000017_000000_reference.wav,edited,reference,B,0012_age_negative_LibriTTS__2990__2990_6534_000017_000000,LibriTTS::2990::2990_6534_000017_000000,senior_60s,male,selected,0.7988246977329254
Q02,1,age,positive,positive,audio/Q02_age_positive_GLOBE__train__S_021413__00039664_000006.v2.vad_reference.wav,audio/Q02_age_positive_GLOBE__train__S_021413__00039664_000006.v2.vad_edited.wav,reference,edited,B,0041_age_positive_GLOBE__train__S_021413__00039664_000006.v2.vad,GLOBE::train::S_021413::00039664_000006.v2.vad,young_20s,male,selected,0.899580717086792
Q03,1,age,negative,positive,audio/Q03_age_negative_NaturalVoices__MSP-PODCAST_3529__MSP-PODCAST_3529_35_reference.wav,audio/Q03_age_negative_NaturalVoices__MSP-PODCAST_3529__MSP-PODCAST_3529_35_edited.wav,reference,edited,A,0013_age_negative_NaturalVoices__MSP-PODCAST_3529__MSP-PODCAST_3529_35,NaturalVoices::MSP-PODCAST_3529::MSP-PODCAST_3529_35,senior_60s,male,selected,0.7918870747089386
Q04,1,age,positive,positive,audio/Q04_age_positive_VoxCeleb1__train__id10258__23dSOm3axoU__00003_reference.wav,audio/Q04_age_positive_VoxCeleb1__train__id10258__23dSOm3axoU__00003_edited.wav,reference,edited,B,0036_age_positive_VoxCeleb1__train__id10258__23dSOm3axoU__00003,VoxCeleb1::train::id10258::23dSOm3axoU::00003,young_20s,female,selected,0.8856934756040573
Q05,2,age,negative,positive,audio/Q05_age_negative_LibriTTS__5044__5044_30592_000039_000000_reference.wav,audio/Q05_age_negative_LibriTTS__5044__5044_30592_000039_000000_edited.wav,reference,edited,A,0010_age_negative_LibriTTS__5044__5044_30592_000039_000000,LibriTTS::5044::5044_30592_000039_000000,senior_60s,female,selected,0.7048710286617279
Q06,2,age,positive,positive,audio/Q06_age_positive_VoxCeleb1__train__id10891__9a90Ocrr0Gw__00001_edited.wav,audio/Q06_age_positive_VoxCeleb1__train__id10891__9a90Ocrr0Gw__00001_reference.wav,edited,reference,A,0037_age_positive_VoxCeleb1__train__id10891__9a90Ocrr0Gw__00001,VoxCeleb1::train::id10891::9a90Ocrr0Gw::00001,young_20s,female,selected,0.8524857312440872
Q07,2,age,negative,positive,audio/Q07_age_negative_LibriTTS__203__203_132073_000032_000001_edited.wav,audio/Q07_age_negative_LibriTTS__203__203_132073_000032_000001_reference.wav,edited,reference,B,0001_age_negative_LibriTTS__203__203_132073_000032_000001,LibriTTS::203::203_132073_000032_000001,mid_40s,female,selected,0.5976613461971283
Q08,2,age,positive,positive,audio/Q08_age_positive_GLOBE__train__S_000942__00220381_000000.v2.vad_edited.wav,audio/Q08_age_positive_GLOBE__train__S_000942__00220381_000000.v2.vad_reference.wav,edited,reference,A,0043_age_positive_GLOBE__train__S_000942__00220381_000000.v2.vad,GLOBE::train::S_000942::00220381_000000.v2.vad,young_20s,male,selected,0.8413765281438828
Q09,3,age,negative,positive,audio/Q09_age_negative_LibriTTS__6782__6782_61316_000007_000010_reference.wav,audio/Q09_age_negative_LibriTTS__6782__6782_61316_000007_000010_edited.wav,reference,edited,A,0003_age_negative_LibriTTS__6782__6782_61316_000007_000010,LibriTTS::6782::6782_61316_000007_000010,mid_40s,female,selected,0.5655250996351243
Q10,3,age,positive,positive,audio/Q10_age_positive_NaturalVoices__MSP-PODCAST_3149__MSP-PODCAST_3149_274_reference.wav,audio/Q10_age_positive_NaturalVoices__MSP-PODCAST_3149__MSP-PODCAST_3149_274_edited.wav,reference,edited,B,0046_age_positive_NaturalVoices__MSP-PODCAST_3149__MSP-PODCAST_3149_274,NaturalVoices::MSP-PODCAST_3149::MSP-PODCAST_3149_274,young_20s,male,selected,0.8247538805007936
