qid,set_id,attribute,target_direction,target_text,question,clip_a,clip_b,clip_a_role,clip_b_role,correct_choice,source_trial_id,item_id,age_group,gender_group,decision_from_curation,selection_score
Q01,1,gender_male,negative,less masculine-presenting,Which clip sounds less masculine-presenting?,audio/Q01_gender_male_negative_GLOBE__train__S_012138__00480100_000001.v2.vad_reference.wav,audio/Q01_gender_male_negative_GLOBE__train__S_012138__00480100_000001.v2.vad_edited.wav,reference,edited,B,0060_gender_male_negative_GLOBE__train__S_012138__00480100_000001.v2.vad,GLOBE::train::S_012138::00480100_000001.v2.vad,senior_60s,male,selected,1.4162977430969477
Q02,1,gender_male,positive,more masculine-presenting,Which clip sounds more masculine-presenting?,audio/Q02_gender_male_positive_GLOBE__train__S_020124__00018555_000017.v2.vad_reference.wav,audio/Q02_gender_male_positive_GLOBE__train__S_020124__00018555_000017.v2.vad_edited.wav,reference,edited,B,0081_gender_male_positive_GLOBE__train__S_020124__00018555_000017.v2.vad,GLOBE::train::S_020124::00018555_000017.v2.vad,senior_60s,female,selected,1.4417214145651087
Q03,1,gender_male,negative,less masculine-presenting,Which clip sounds less masculine-presenting?,audio/Q03_gender_male_negative_NaturalVoices__MSP-PODCAST_3298__MSP-PODCAST_3298_481_reference.wav,audio/Q03_gender_male_negative_NaturalVoices__MSP-PODCAST_3298__MSP-PODCAST_3298_481_edited.wav,reference,edited,B,0061_gender_male_negative_NaturalVoices__MSP-PODCAST_3298__MSP-PODCAST_3298_481,NaturalVoices::MSP-PODCAST_3298::MSP-PODCAST_3298_481,senior_60s,male,selected,1.4077270673587918
Q04,1,gender_male,positive,more masculine-presenting,Which clip sounds more masculine-presenting?,audio/Q04_gender_male_positive_LibriTTS__4280__4280_185518_000037_000002_edited.wav,audio/Q04_gender_male_positive_LibriTTS__4280__4280_185518_000037_000002_reference.wav,edited,reference,A,0083_gender_male_positive_LibriTTS__4280__4280_185518_000037_000002,LibriTTS::4280::4280_185518_000037_000002,senior_60s,female,selected,1.4259777590632439
Q05,2,gender_male,negative,less masculine-presenting,Which clip sounds less masculine-presenting?,audio/Q05_gender_male_negative_GLOBE__train__S_000942__00220381_000000.v2.vad_reference.wav,audio/Q05_gender_male_negative_GLOBE__train__S_000942__00220381_000000.v2.vad_edited.wav,reference,edited,B,0068_gender_male_negative_GLOBE__train__S_000942__00220381_000000.v2.vad,GLOBE::train::S_000942::00220381_000000.v2.vad,young_20s,male,selected,1.4008833263069391
Q06,2,gender_male,positive,more masculine-presenting,Which clip sounds more masculine-presenting?,audio/Q06_gender_male_positive_AESRC__Portuguese_G10503__G10503S1196_reference.wav,audio/Q06_gender_male_positive_AESRC__Portuguese_G10503__G10503S1196_edited.wav,reference,edited,B,0073_gender_male_positive_AESRC__Portuguese_G10503__G10503S1196,AESRC::Portuguese_G10503::G10503S1196,mid_40s,female,selected,1.4064472324680537
Q07,2,gender_male,negative,less masculine-presenting,Which clip sounds less masculine-presenting?,audio/Q07_gender_male_negative_AESRC__Indian_G1757__G1757S1062_reference.wav,audio/Q07_gender_male_negative_AESRC__Indian_G1757__G1757S1062_edited.wav,reference,edited,B,0069_gender_male_negative_AESRC__Indian_G1757__G1757S1062,AESRC::Indian_G1757::G1757S1062,young_20s,male,selected,1.3940089093521235
Q08,2,gender_male,positive,more masculine-presenting,Which clip sounds more masculine-presenting?,audio/Q08_gender_male_positive_GLOBE__train__S_013904__00115359_000001.v2.vad_edited.wav,audio/Q08_gender_male_positive_GLOBE__train__S_013904__00115359_000001.v2.vad_reference.wav,edited,reference,A,0082_gender_male_positive_GLOBE__train__S_013904__00115359_000001.v2.vad,GLOBE::train::S_013904::00115359_000001.v2.vad,senior_60s,female,maybe,1.428331803763285
Q09,3,gender_male,negative,less masculine-presenting,Which clip sounds less masculine-presenting?,audio/Q09_gender_male_negative_NaturalVoices__MSP-PODCAST_0478__MSP-PODCAST_0478_1_edited.wav,audio/Q09_gender_male_negative_NaturalVoices__MSP-PODCAST_0478__MSP-PODCAST_0478_1_reference.wav,edited,reference,A,0049_gender_male_negative_NaturalVoices__MSP-PODCAST_0478__MSP-PODCAST_0478_1,NaturalVoices::MSP-PODCAST_0478::MSP-PODCAST_0478_1,mid_40s,female,selected,0.4754032591590657
Q10,3,gender_male,positive,more masculine-presenting,Which clip sounds more masculine-presenting?,audio/Q10_gender_male_positive_LibriTTS__6782__6782_61316_000007_000010_edited.wav,audio/Q10_gender_male_positive_LibriTTS__6782__6782_61316_000007_000010_reference.wav,edited,reference,A,0072_gender_male_positive_LibriTTS__6782__6782_61316_000007_000010,LibriTTS::6782::6782_61316_000007_000010,mid_40s,female,maybe,1.4086635676212609
