qid,set_id,attribute,target_direction,question_direction,clip_a,clip_b,clip_a_role,clip_b_role,correct_choice,source_trial_id,item_id,age_group,gender_group,decision_from_curation,selection_score
Q01,1,voice_quality_hnr,negative,positive,audio/Q01_voice_quality_hnr_negative_AESRC__American_G11388__G11388S5441_edited.wav,audio/Q01_voice_quality_hnr_negative_AESRC__American_G11388__G11388S5441_reference.wav,edited,reference,B,0144_voice_quality_hnr_negative_AESRC__American_G11388__G11388S5441,AESRC::American_G11388::G11388S5441,mid_40s,female,selected,14.99850992729499
Q02,1,voice_quality_hnr,positive,positive,audio/Q02_voice_quality_hnr_positive_AESRC__Chinese_G00541__G00541S1039_edited.wav,audio/Q02_voice_quality_hnr_positive_AESRC__Chinese_G00541__G00541S1039_reference.wav,edited,reference,A,0168_voice_quality_hnr_positive_AESRC__Chinese_G00541__G00541S1039,AESRC::Chinese_G00541::G00541S1039,mid_40s,female,selected,20.03130963484106
Q03,1,voice_quality_hnr,negative,positive,audio/Q03_voice_quality_hnr_negative_AESRC__Russian_G00439__G00439S1152_reference.wav,audio/Q03_voice_quality_hnr_negative_AESRC__Russian_G00439__G00439S1152_edited.wav,reference,edited,A,0158_voice_quality_hnr_negative_AESRC__Russian_G00439__G00439S1152,AESRC::Russian_G00439::G00439S1152,young_20s,female,selected,14.702138976086912
Q04,1,voice_quality_hnr,positive,positive,audio/Q04_voice_quality_hnr_positive_NaturalVoices__MSP-PODCAST_3298__MSP-PODCAST_3298_481_edited.wav,audio/Q04_voice_quality_hnr_positive_NaturalVoices__MSP-PODCAST_3298__MSP-PODCAST_3298_481_reference.wav,edited,reference,A,0177_voice_quality_hnr_positive_NaturalVoices__MSP-PODCAST_3298__MSP-PODCAST_3298_481,NaturalVoices::MSP-PODCAST_3298::MSP-PODCAST_3298_481,senior_60s,male,selected,17.990401148044448
Q05,2,voice_quality_hnr,negative,positive,audio/Q05_voice_quality_hnr_negative_AESRC__American_G01897__G01897S1025_edited.wav,audio/Q05_voice_quality_hnr_negative_AESRC__American_G01897__G01897S1025_reference.wav,edited,reference,B,0145_voice_quality_hnr_negative_AESRC__American_G01897__G01897S1025,AESRC::American_G01897::G01897S1025,mid_40s,female,selected,13.672243832310153
Q06,2,voice_quality_hnr,positive,positive,audio/Q06_voice_quality_hnr_positive_GLOBE__train__S_015627__00104298_000032.v2.vad_reference.wav,audio/Q06_voice_quality_hnr_positive_GLOBE__train__S_015627__00104298_000032.v2.vad_edited.wav,reference,edited,B,0172_voice_quality_hnr_positive_GLOBE__train__S_015627__00104298_000032.v2.vad,GLOBE::train::S_015627::00104298_000032.v2.vad,mid_40s,male,selected,17.56712269912731
Q07,2,voice_quality_hnr,negative,positive,audio/Q07_voice_quality_hnr_negative_GLOBE__train__S_022353__00394391_000001.v2.vad_reference.wav,audio/Q07_voice_quality_hnr_negative_GLOBE__train__S_022353__00394391_000001.v2.vad_edited.wav,reference,edited,A,0159_voice_quality_hnr_negative_GLOBE__train__S_022353__00394391_000001.v2.vad,GLOBE::train::S_022353::00394391_000001.v2.vad,young_20s,female,selected,13.136959779080268
Q08,2,voice_quality_hnr,positive,positive,audio/Q08_voice_quality_hnr_positive_NaturalVoices__MSP-PODCAST_4811__MSP-PODCAST_4811_947_reference.wav,audio/Q08_voice_quality_hnr_positive_NaturalVoices__MSP-PODCAST_4811__MSP-PODCAST_4811_947_edited.wav,reference,edited,B,0173_voice_quality_hnr_positive_NaturalVoices__MSP-PODCAST_4811__MSP-PODCAST_4811_947,NaturalVoices::MSP-PODCAST_4811::MSP-PODCAST_4811_947,mid_40s,male,selected,16.7284579104811
Q09,3,voice_quality_hnr,negative,positive,audio/Q09_voice_quality_hnr_negative_GLOBE__train__S_015477__00515905_000005.v2.vad_reference.wav,audio/Q09_voice_quality_hnr_negative_GLOBE__train__S_015477__00515905_000005.v2.vad_edited.wav,reference,edited,A,0148_voice_quality_hnr_negative_GLOBE__train__S_015477__00515905_000005.v2.vad,GLOBE::train::S_015477::00515905_000005.v2.vad,mid_40s,male,selected,12.966104971873644
Q10,3,voice_quality_hnr,positive,positive,audio/Q10_voice_quality_hnr_positive_VoxCeleb1__train__id10032__AVCdDfeeYuY__00003_reference.wav,audio/Q10_voice_quality_hnr_positive_VoxCeleb1__train__id10032__AVCdDfeeYuY__00003_edited.wav,reference,edited,B,0169_voice_quality_hnr_positive_VoxCeleb1__train__id10032__AVCdDfeeYuY__00003,VoxCeleb1::train::id10032::AVCdDfeeYuY::00003,mid_40s,female,selected,15.621016294756686
Q11,3,voice_quality_hnr,negative,positive,audio/Q11_voice_quality_hnr_negative_AESRC__Canadian_G10231__G10231S3424_edited.wav,audio/Q11_voice_quality_hnr_negative_AESRC__Canadian_G10231__G10231S3424_reference.wav,edited,reference,B,0146_voice_quality_hnr_negative_AESRC__Canadian_G10231__G10231S3424,AESRC::Canadian_G10231::G10231S3424,mid_40s,female,selected,11.794230074714367
Q12,3,voice_quality_hnr,positive,positive,audio/Q12_voice_quality_hnr_positive_AESRC__British_G00024__G00024S1081_edited.wav,audio/Q12_voice_quality_hnr_positive_AESRC__British_G00024__G00024S1081_reference.wav,edited,reference,A,0187_voice_quality_hnr_positive_AESRC__British_G00024__G00024S1081,AESRC::British_G00024::G00024S1081,young_20s,male,selected,15.246020645792427
Q13,4,voice_quality_hnr,negative,positive,audio/Q13_voice_quality_hnr_negative_NaturalVoices__MSP-PODCAST_0094__MSP-PODCAST_0094_32_edited.wav,audio/Q13_voice_quality_hnr_negative_NaturalVoices__MSP-PODCAST_0094__MSP-PODCAST_0094_32_reference.wav,edited,reference,B,0163_voice_quality_hnr_negative_NaturalVoices__MSP-PODCAST_0094__MSP-PODCAST_0094_32,NaturalVoices::MSP-PODCAST_0094::MSP-PODCAST_0094_32,young_20s,male,selected,11.397972759751065
Q14,4,voice_quality_hnr,positive,positive,audio/Q14_voice_quality_hnr_positive_VoxCeleb1__train__id10542__Vh1HvXHIzqI__00001_edited.wav,audio/Q14_voice_quality_hnr_positive_VoxCeleb1__train__id10542__Vh1HvXHIzqI__00001_reference.wav,edited,reference,A,0188_voice_quality_hnr_positive_VoxCeleb1__train__id10542__Vh1HvXHIzqI__00001,VoxCeleb1::train::id10542::Vh1HvXHIzqI::00001,young_20s,male,selected,14.573126982166494
Q15,4,voice_quality_hnr,negative,positive,audio/Q15_voice_quality_hnr_negative_VoxCeleb1__train__id10891__9a90Ocrr0Gw__00001_reference.wav,audio/Q15_voice_quality_hnr_negative_VoxCeleb1__train__id10891__9a90Ocrr0Gw__00001_edited.wav,reference,edited,A,0166_voice_quality_hnr_negative_VoxCeleb1__train__id10891__9a90Ocrr0Gw__00001,VoxCeleb1::train::id10891::9a90Ocrr0Gw::00001,young_20s,female,selected,10.847445519290297
